Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Healthy Life Expectancy,Freedom,Trust (Government Corruption),Generosity
Nicaragua,45,6.105,0.6940000000000001,1.325,0.835,0.435,0.127,0.2
Kosovo,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262
Argentina,47,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.05,0.066
Romania,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083
Cyprus,49,6.046,1.263,1.2229999999999999,1.042,0.406,0.040999999999999995,0.19
Ecuador,50,6.028,0.912,1.3119999999999998,0.868,0.498,0.087,0.126
Kuwait,51,6.021,1.5,1.319,0.8079999999999999,0.493,0.09699999999999999,0.142
Thailand,52,6.007999999999999,1.05,1.409,0.828,0.557,0.027999999999999997,0.359
Latvia,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075
South Korea,54,5.895,1.301,1.219,1.036,0.159,0.055999999999999994,0.175
Estonia,55,5.893,1.237,1.528,0.8740000000000001,0.495,0.161,0.10300000000000001
Jamaica,56,5.89,0.831,1.4780000000000002,0.831,0.49,0.027999999999999997,0.107
Mauritius,57,5.888,1.12,1.402,0.7979999999999999,0.498,0.06,0.215
Japan,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069
Honduras,59,5.86,0.642,1.236,0.828,0.507,0.078,0.24600000000000002
Kazakhstan,60,5.809,1.173,1.508,0.7290000000000001,0.41,0.096,0.146
Bolivia,61,5.779,0.7759999999999999,1.209,0.706,0.511,0.064,0.13699999999999998
Hungary,62,5.757999999999999,1.2009999999999998,1.41,0.828,0.19899999999999998,0.02,0.081
Paraguay,63,5.742999999999999,0.855,1.475,0.777,0.514,0.08,0.184
Northern Cyprus,64,5.718,1.263,1.252,1.042,0.41700000000000004,0.162,0.191
Peru,65,5.697,0.96,1.274,0.8540000000000001,0.455,0.027000000000000003,0.083
Portugal,66,5.693,1.2209999999999999,1.431,0.9990000000000001,0.508,0.025,0.047
Pakistan,67,5.653,0.677,0.8859999999999999,0.535,0.313,0.098,0.22
Russia,68,5.648,1.183,1.452,0.726,0.33399999999999996,0.031,0.08199999999999999
Philippines,69,5.631,0.807,1.2930000000000001,0.657,0.5579999999999999,0.107,0.11699999999999999
Serbia,70,5.603,1.004,1.383,0.8540000000000001,0.282,0.039,0.13699999999999998
Moldova,71,5.529,0.685,1.328,0.7390000000000001,0.245,0.0,0.18100000000000002
Libya,72,5.525,1.044,1.3030000000000002,0.6729999999999999,0.41600000000000004,0.152,0.133
Montenegro,73,5.523,1.051,1.361,0.871,0.19699999999999998,0.08,0.142
Tajikistan,74,5.4670000000000005,0.493,1.0979999999999999,0.718,0.389,0.14400000000000002,0.23
Croatia,75,5.432,1.155,1.266,0.914,0.29600000000000004,0.022000000000000002,0.11900000000000001
Hong Kong,76,5.43,1.4380000000000002,1.2770000000000001,1.122,0.44,0.287,0.258
Dominican Republic,77,5.425,1.015,1.401,0.779,0.49700000000000005,0.10099999999999999,0.113
Bosnia and Herzegovina,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263
Turkey,79,5.372999999999999,1.183,1.36,0.8079999999999999,0.195,0.106,0.083
Malaysia,80,5.3389999999999995,1.2209999999999999,1.171,0.828,0.508,0.024,0.26
Belarus,81,5.3229999999999995,1.067,1.465,0.789,0.235,0.142,0.094
Greece,82,5.287000000000001,1.181,1.156,0.9990000000000001,0.067,0.034,0.0
Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235
North Macedonia,84,5.274,0.983,1.294,0.838,0.345,0.034,0.185
Nigeria,85,5.265,0.696,1.111,0.245,0.426,0.040999999999999995,0.215
Kyrgyzstan,86,5.261,0.551,1.4380000000000002,0.723,0.508,0.023,0.3
Turkmenistan,87,5.247000000000001,1.052,1.538,0.657,0.39399999999999996,0.027999999999999997,0.244
Algeria,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073
Morocco,89,5.207999999999999,0.8009999999999999,0.782,0.782,0.418,0.076,0.036000000000000004
Azerbaijan,90,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.182,0.035
Lebanon,91,5.197,0.987,1.224,0.815,0.21600000000000003,0.027000000000000003,0.166
Indonesia,92,5.192,0.9309999999999999,1.203,0.66,0.491,0.027999999999999997,0.498
China,93,5.191,1.0290000000000001,1.125,0.893,0.521,0.1,0.057999999999999996
Vietnam,94,5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.073,0.147
Bhutan,95,5.082,0.813,1.321,0.604,0.457,0.16699999999999998,0.37
Cameroon,96,5.044,0.5489999999999999,0.91,0.331,0.381,0.037000000000000005,0.187
Bulgaria,97,5.011,1.092,1.5130000000000001,0.815,0.311,0.004,0.081
Ghana,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245
Ivory Coast,99,4.944,0.569,0.8079999999999999,0.23199999999999998,0.35200000000000004,0.09,0.154
Nepal,100,4.913,0.446,1.226,0.677,0.439,0.08900000000000001,0.285
Jordan,101,4.906000000000001,0.8370000000000001,1.225,0.815,0.38299999999999995,0.13,0.11
Benin,102,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.08199999999999999,0.175
Congo (Brazzaville),103,4.812,0.6729999999999999,0.799,0.508,0.37200000000000005,0.09300000000000001,0.105
Gabon,104,4.7989999999999995,1.057,1.183,0.5710000000000001,0.295,0.055,0.043
Laos,105,4.796,0.764,1.03,0.551,0.547,0.16399999999999998,0.266
South Africa,106,4.7219999999999995,0.96,1.351,0.469,0.389,0.055,0.13
Albania,107,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.027000000000000003,0.17800000000000002
Venezuela,108,4.707,0.96,1.4269999999999998,0.805,0.154,0.047,0.064
Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.062,0.23199999999999998
Palestinian Territories,110,4.696000000000001,0.657,1.247,0.672,0.225,0.066,0.10300000000000001
Senegal,111,4.681,0.45,1.1340000000000001,0.5710000000000001,0.292,0.07200000000000001,0.153
Somalia,112,4.668,0.0,0.698,0.268,0.5589999999999999,0.27,0.243
Namibia,113,4.638999999999999,0.879,1.3130000000000002,0.47700000000000004,0.401,0.055999999999999994,0.07
Niger,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188
Burkina Faso,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177
Armenia,116,4.559,0.85,1.055,0.815,0.28300000000000003,0.064,0.095
Iran,117,4.548,1.1,0.8420000000000001,0.785,0.305,0.125,0.27
Guinea,118,4.534,0.38,0.8290000000000001,0.375,0.332,0.086,0.207
Georgia,119,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.16399999999999998,0.043
Gambia,120,4.516,0.308,0.9390000000000001,0.428,0.382,0.16699999999999998,0.26899999999999996
Kenya,121,4.5089999999999995,0.512,0.983,0.581,0.431,0.053,0.37200000000000005
Mauritania,122,4.49,0.57,1.167,0.489,0.066,0.08800000000000001,0.106
Mozambique,123,4.466,0.204,0.986,0.39,0.494,0.138,0.19699999999999998
Tunisia,124,4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,0.055,0.059000000000000004
Bangladesh,125,4.456,0.562,0.9279999999999999,0.723,0.527,0.14300000000000002,0.166
Iraq,126,4.437,1.043,0.98,0.574,0.24100000000000002,0.08900000000000001,0.14800000000000002
Congo (Kinshasa),127,4.418,0.094,1.125,0.35700000000000004,0.26899999999999996,0.053,0.212
Mali,128,4.39,0.385,1.105,0.308,0.327,0.052000000000000005,0.153
Sierra Leone,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252
Sri Lanka,130,4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.047,0.244
Myanmar,131,4.36,0.71,1.181,0.555,0.525,0.172,0.5660000000000001
Chad,132,4.35,0.35,0.7659999999999999,0.192,0.174,0.078,0.198
Ukraine,133,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,0.01,0.187
Ethiopia,134,4.2860000000000005,0.336,1.033,0.532,0.344,0.1,0.209
Swaziland,135,4.212,0.8109999999999999,1.149,0.0,0.313,0.135,0.07400000000000001
Uganda,136,4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,0.06,0.252
Egypt,137,4.166,0.9129999999999999,1.0390000000000001,0.644,0.24100000000000002,0.067,0.076
Zambia,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247
Togo,139,4.085,0.275,0.5720000000000001,0.41,0.293,0.085,0.177
India,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2
Liberia,141,3.975,0.073,0.922,0.44299999999999995,0.37,0.033,0.233
Comoros,142,3.9730000000000003,0.27399999999999997,0.757,0.505,0.142,0.078,0.275
Madagascar,143,3.9330000000000003,0.27399999999999997,0.9159999999999999,0.555,0.14800000000000002,0.040999999999999995,0.16899999999999998
Lesotho,144,3.802,0.489,1.169,0.168,0.359,0.09300000000000001,0.107
Burundi,145,3.775,0.046,0.447,0.38,0.22,0.18,0.17600000000000002
Zimbabwe,146,3.6630000000000003,0.366,1.114,0.433,0.361,0.08900000000000001,0.151
Haiti,147,3.597,0.32299999999999995,0.688,0.449,0.026000000000000002,0.11,0.419
Botswana,148,3.488,1.041,1.145,0.5379999999999999,0.455,0.1,0.025
Syria,149,3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,0.141,0.331
Malawi,150,3.41,0.191,0.56,0.495,0.44299999999999995,0.08900000000000001,0.218
Yemen,151,3.38,0.287,1.163,0.46299999999999997,0.14300000000000002,0.077,0.10800000000000001
Rwanda,152,3.3339999999999996,0.359,0.711,0.614,0.555,0.41100000000000003,0.217
Tanzania,153,3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,0.147,0.276
Afghanistan,154,3.2030000000000003,0.35,0.517,0.361,0.0,0.025,0.158
Central African Republic,155,3.083,0.026000000000000002,0.0,0.105,0.225,0.035,0.235
South Sudan,156,2.853,0.306,0.575,0.295,0.01,0.091,0.20199999999999999
